chapter,word,translation
11.2,minimum age,最小年龄
11.2,regional competition,地区竞赛
11.2,special price,特殊价格
11.2,mixed age,混合年龄
11.2,government fund,政府资金
11.2,local community,当地居民
11.2,control room,控制室
11.2,waiting room,等候室
11.2,cup cleaning,杯子清理
11.2,animal protection,动物保护
11.2,reset button,重置按钮
11.2,experience skills,经验技能
11.2,contact number,联系电话
11.2,art museum,艺术博物馆
11.2,stunning view,优美风景
11.2,street art,街头艺术
11.2,horseback riding,骑马
11.2,tent accommodation,帐篷住宿
11.2,wild animals,野生动物
11.2,stress level,压力水平
11.2,fancy dress,炫酷的衣服
11.2,family ticket,家庭套票
11.2,concert room,小音乐厅
11.2,weather observing,天气观察
11.2,free transportation,免费交通
11.2,fitness centre,健身中心
11.2,thick trousers,厚裤子
11.2,shuttle bus,班车
11.2,virtual volunteer,网络志愿者
11.2,feed animals,喂动物
11.2,cake factory,蛋糕厂
11.2,smoke alarm,烟雾报警
11.2,lookout point,观景台
11.2,face painting,脸谱
11.2,member restaurant,会员餐厅
11.2,gallery shop,画廊
11.2,food containers,食物容器
11.2,good shoes,好鞋
11.2,formal clothes,正装
11.2,dance show,舞蹈表演
11.2,delivery note,交付单
11.2,mountain climbing,爬山
11.2,coach trip,训练旅程
11.2,bush fire,丛林火灾
11.2,attraction zone,景区
11.2,handle animals,驯养动物
11.2,good washing facilities,高效清洁设备
11.2,trial test,模拟测试
11.2,provisional license,临时证件
11.2,practical theory,实际理论
11.2,pretzel factory,饼干厂
11.2,train ride,火车之旅
11.2,prepare refreshments,准备点心
11.2,weather forecast,天气预报
11.2,hot balloon,热气球
11.2,family-fast-line track ticket,家庭快线票
11.2,fast line ticket,快速通道票
11.2,cowboy show ride,牛仔表演之旅
11.2,herbal treatment,草药治疗
11.2,skating rink,溜冰场
11.2,one-to-one coach,一对一教练
11.2,introductory price,入门价格
11.2,gym room,健身房
11.2,heart monitor,心脏监视器
11.2,free massage,免费按摩
11.2,water bottle,水瓶
11.2,beach front view,沙滩前景
11.2,bright fabric,明亮织物
11.2,well-known singer,知名歌手
11.2,bottle collection,瓶子收集
11.2,ink cartridge,打印机墨盒
11.2,picnic area,野餐区
11.2,meal ticket,餐券
11.2,fuel consumption,燃料消耗
11.2,oil filter,油滤器
11.2,global travel,全球旅行
11.2,loss of instruments,仪器损失
11.2,steer the boat,掌船舵
11.2,marine animals,海洋动物
11.2,marine history,海洋史
11.2,meadow campsite,牧场野营地
11.2,caravan park,房车停车场
11.2,green lounge,绿色躺椅
11.2,cash point,取款机，现金处
11.2,unregistered taxi,黑车
11.2,plastic bag,塑料袋
11.2,compulsory modules,必修模块
11.2,objective matters,客观物质
11.2,final score,最后分数
11.2,ancient history,远古历史
11.2,wooden peg,木头桩
11.2,animal bones,动物骨头
11.2,roof scaffold,房顶脚手架
11.2,changing room,更衣室
11.2,hospital comedy,医院喜剧
11.2,family life,家庭生活
11.2,science fiction,科幻片
11.2,heavy stuff,重物
11.2,business district,商业区
11.2,exotic plants,外国植物
11.2,building materials,建筑材料
11.2,single session,单独课程
11.2,English proficiency,英语熟练度
11.2,police offence,袭警
11.2,traffic violation,违反交规
11.2,practical elements,实用元素
11.2,tuition fees,学费
11.2,compulsory course,必修课
11.2,agriculture fair,农业集市
11.2,electric card,电子卡
11.2,solar panels,太阳能板
11.2,electric cooker,电子炊具
11.2,gas cooker,煤气灶
11.2,inquiry desk,问询台
11.2,campus clinic,校医院
11.2,local owners,当地所有者
11.2,clothes manufacturing,服装制作
11.2,professional model,专业模特
11.2,fashion exhibition,时尚展览
11.2,limited time,有限的时间
11.2,toy train,玩具火车
11.2,gift shop,礼品店
11.2,free locker,免费储物柜
11.2,personal belongings,个人物品
11.2,curriculum vitae,简历
11.2,volunteer list,志愿者名单
11.2,luggage lockers,行李柜
11.2,bike racks,自行车架
11.2,test room,考场
11.2,dinosaur bones,恐龙骨骼化石
11.2,night tour trip,夜游旅行
11.2,artificial light,人造光
11.2,mineral resources,矿产资源
11.2,wood of hazel,榛树的木头
11.2,building wood,建筑木材
11.2,trade journals,贸易期刊
11.2,guest speaker,特邀发言人
11.2,residential area,居住区
11.2,troop exercises,军事演习
11.2,wooden sculptures,木雕
11.2,extended family,大家庭
11.2,related project,相关项目
11.2,tour manager,旅游经理
11.2,heritage sites,遗迹
11.2,adventure playground,冒险公园
11.2,formal gardens,正式花园
11.2,wild flowers,野花
11.2,palm trees,棕榈树
